fitness from FF 5.415528261232647
gamma_C13a 0.00111083 0.009723487477072478 0.0034609889739489167 0.008612657477072478
gamma_C13b 0.00111083 0.013032043570995227 0.00412525719759773 0.011921213570995227
gamma_C13c 0.00111083 0.0092161675446878 0.0039517368038513075 0.008105337544687799
gamma_C14a 0.00111083 0.017165569641187546 0.0044503579330970365 0.016054739641187546
gamma_C14b 0.00111083 0.018036998607804305 0.003578243042083822 0.016926168607804305
gamma_C14c 0.00111083 0.013896535450099565 0.004536411285106875 0.012785705450099565
gamma_C15a 0.00111083 0.020367592214724155 0.00481591207842656 0.019256762214724155
gamma_C15b 0.00111083 0.014503592528140749 0.004838003691261477 0.013392762528140749
gamma_C15c 0.00111083 0.01320370352236951 0.0036704828787576717 0.01209287352236951
beta1 -0.04478707 -0.1192338997761017 0.006194927538657143 -0.0744468297761017
beta2 -0.04478707 -0.11674515991802036 0.007780766615830237 -0.07195808991802036
alpha1 0.05589248 -0.017497882246118247 0.011821193173617264 -0.07339036224611825
alpha2 0.05589248 0.03753953265106987 0.012827204827541466 -0.01835294734893013
g3_1 -0.23134863 -0.15678293120940245 0.013550956870305624 0.07456569879059755
g3_2 -0.23134863 -0.22324173522044496 0.016665136430503522 0.008106894779555035
g2_1 -0.20691616 -0.2026648432908467 0.021602549520998302 0.004251316709153297
g1_1 -0.14991575 -0.11826312283817698 0.025611653272244628 0.031652627161823
g1_2 0.0 0.10337247346639108 0.0226117843837017 0.10337247346639108
palmitoyl_C2a -0.20987741 -0.2349801724198316 0.011780183775312878 -0.025102762419831615
palmitoyl_C2b -0.20987741 -0.21784191306377135 0.00886236032772383 -0.007964503063771361
palmitoyl_C3a -0.18840908 -0.12358284240556001 0.00817803676223803 0.06482623759443999
palmitoyl_C3b -0.18840908 -0.10946352579338692 0.007045647592002019 0.07894555420661309
palmitoyl_C4a -0.18619612 -0.11686008755735633 0.00829429711659579 0.06933603244264366
palmitoyl_C4b -0.18619612 -0.12145111882486569 0.00660993156188927 0.0647450011751343
palmitoyl_C5a -0.20173615 -0.1109017052367188 0.007351493751406351 0.0908344447632812
palmitoyl_C5b -0.20173615 -0.11271880585461745 0.007440923728083995 0.08901734414538255
palmitoyl_C6a -0.19581075 -0.11335357104842118 0.007497304497914301 0.08245717895157882
palmitoyl_C6b -0.19581075 -0.11616561810224392 0.008038384390996666 0.07964513189775609
palmitoyl_C7a -0.19507116 -0.16759461351353855 0.008686441797671548 0.027476546486461445
palmitoyl_C7b -0.19507116 -0.1558411646879802 0.008985772542968461 0.03922999531201979
palmitoyl_C8a -0.18174699 -0.115683675213929 0.010026374324043633 0.066063314786071
palmitoyl_C8b -0.18174699 -0.11458193627875798 0.008885220666173328 0.06716505372124201
palmitoyl_C9a -0.17434532 -0.11952196929797122 0.010001427901767595 0.054823350702028775
palmitoyl_C9b -0.17434532 -0.11951461051974845 0.00876965181972173 0.05483070948025155
palmitoyl_C10a -0.14991285 -0.12259724616272182 0.009549223421208392 0.02731560383727817
palmitoyl_C10b -0.14991285 -0.12523153232362094 0.008397084541654963 0.024681317676379044
palmitoyl_C11a -0.13658578 -0.11842103561576778 0.009365984853000758 0.018164744384232212
palmitoyl_C11b -0.13658578 -0.12081665719319981 0.007809065257469258 0.01576912280680018
palmitoyl_C12a -0.11585704 -0.11462921187762527 0.008806919888957421 0.0012278281223747217
palmitoyl_C12b -0.11585704 -0.11882847094693316 0.007272692130068293 -0.002971430946933168
palmitoyl_C13a -0.10623371 -0.10441737121541717 0.007683395336625027 0.00181633878458283
palmitoyl_C13b -0.10623371 -0.1052425195622856 0.0065928900324230015 0.0009911904377143954
palmitoyl_C14a -0.08994829 -0.08457253477195696 0.005340846614596635 0.005375755228043039
palmitoyl_C14b -0.08994829 -0.08376878133496042 0.005221913272863947 0.006179508665039579
palmitoyl_C15a -0.06699789 -0.048785986121828794 0.0031821341361029567 0.01821190387817121
palmitoyl_C15b -0.06699789 -0.04554175622680448 0.003015167795318802 0.021456133773195524
palmitoyl_C16a -0.01813583 -0.025250143453328072 0.0021518398334649576 -0.007114313453328074
palmitoyl_C16b -0.01813583 -0.02148136719540625 0.00224392660241225 -0.003345537195406253
palmitoyl_C16c -0.01813583 -0.02527882122221869 0.0021532326894980153 -0.007142991222218693
oleoyl_C2a -0.0795825 -0.11923788255708372 0.013224653619998451 -0.039655382557083715
oleoyl_C2b -0.122519 -0.13523934996635784 0.009009532057867963 -0.012720349966357833
oleoyl_C3a -0.180265 -0.10763434855651495 0.00890808908993254 0.07263065144348506
oleoyl_C3b -0.180265 -0.13156038917440166 0.006040636620578595 0.04870461082559835
oleoyl_C4a -0.186187 -0.12381618506800854 0.006340020171946413 0.06237081493199145
oleoyl_C4b -0.186187 -0.142126922936405 0.005667774064146468 0.04406007706359499
oleoyl_C5a -0.193592 -0.1434011509317485 0.005387675396022382 0.0501908490682515
oleoyl_C5b -0.193592 -0.1465192296721611 0.0066707704398404856 0.04707277032783888
oleoyl_C6a -0.166198 -0.11708735024693306 0.006049316802058263 0.04911064975306695
oleoyl_C6b -0.166198 -0.11553054970526486 0.006422333488824084 0.050667450294735156
oleoyl_C7a -0.154356 -0.09923465607195107 0.0060869238385144525 0.05512134392804892
oleoyl_C7b -0.154356 -0.10530239917497887 0.0065306889807076 0.049053600825021124
oleoyl_C8a -0.1203 -0.07950672812572346 0.006613943352733853 0.040793271874276546
oleoyl_C8b -0.1203 -0.08603748396286484 0.005596356441009132 0.03426251603713516
oleoyl_C9a -0.108455 -0.05003523363248455 0.006016636089292302 0.05841976636751545
oleoyl_C10a -0.0225792 -0.05459838863691538 0.008253986335281783 -0.03201918863691538
oleoyl_C11a -0.0581141 -0.060336777324750956 0.006053990709615499 -0.0022226773247509546
oleoyl_C11b -0.0581141 -0.052493305734834655 0.0071963126478782734 0.005620794265165346
oleoyl_C12a -0.0995716 -0.06370295367754679 0.007426333252115557 0.03586864632245321
oleoyl_C12b -0.0995716 -0.06651764035910068 0.0066227599071806125 0.033053959640899314
oleoyl_C13a -0.106234 -0.05320157229019467 0.006443715903124517 0.053032427709805326
